"year","mean","median","lcl","ucl"
2015,5781.712,5856.5,4990,6093
2016,5615.12,5745,4759,5913
2017,5490.832,5665,4636,5820
2018,5379.372,5583,4524,5751
2019,5257.615,5471,4333,5686
2020,5177.06999999999,5369,4299,5624
2021,5093.717,5275,4133,5577
2022,4983.823,5159.5,3948,5524
2023,4889.74300000001,5049.5,3857,5478
2024,4815.29799999999,4948,3823,5430
2025,4731.31,4848,3724,5385
2026,4674.10700000001,4775,3676,5347
2027,4629.30000000001,4734.5,3577,5321
2028,4580.96300000001,4682,3496,5300
2029,4533.158,4639.5,3435,5283
2030,4483.51200000001,4570,3410,5250
2031,4450.422,4534,3347,5229
2032,4413.82700000001,4490,3318,5206
2033,4374.89200000001,4444.5,3281,5176
2034,4334.407,4399.5,3306,5154
2035,4307.921,4377.5,3247,5133
2036,4280.94999999999,4344,3301,5114
2037,4253.41,4313,3280,5084
2038,4219.788,4269,3297,5039
2039,4189.13100000001,4240,3223,5005
2040,4164.217,4211,3225,4972
2041,4138.063,4173.5,3150,4931
2042,4091.99899999999,4146.5,3085,4887
2043,4056.011,4111,3084,4840
2044,4030.19900000001,4087,3088,4811
2045,3999.559,4062,3004,4775
