"year","mean","median","lcl","ucl"
2015,133.596,131,57,211
2016,136.237,134,59,217
2017,142.269,142,57,225
2018,150.355,148,62,245
2019,156.889000000001,154,64,258
2020,162.735999999999,159,63,273
2021,168.327999999999,164,64,286
2022,173.523999999999,170,65,294
2023,177.422000000001,175,68,301
2024,181.697,181,67,302
2025,185.86,185.5,65,307
2026,188.555,189,62,306
2027,190.735999999999,192.5,64,306
2028,191.753999999999,194,66,304
2029,193.251,198,65,302
2030,194.299000000001,200,68,301
2031,194.128999999999,202,67,300
2032,194.324999999999,202,69,298
2033,195.191000000001,205,71,291
2034,195.576,208.5,72,292
2035,194.724000000001,208,69,289
2036,194.760000000001,207,67,286
2037,194.977000000001,207,67,286
2038,195.017,208,66,285
2039,195.527000000001,208.5,67,288
2040,195.469,207.5,66,287
2041,195.769,209,70,285
2042,195.642,207,70,285
2043,195.278000000001,206.5,70,284
2044,195.362999999999,206,73,283
2045,195.496000000001,208,73,285
