"year","mean","median","lcl","ucl"
2015,81.1660000000004,81,35,127
2016,83.4049999999997,82,37,132
2017,87.3560000000002,87,37,140
2018,93.116,91,40,150
2019,97.5649999999997,95,41,157
2020,101.548999999999,98,43,167
2021,105.439,103,41,178
2022,108.806,105,44,181
2023,111.865999999999,109,44,185
2024,114.816,112,45,192
2025,118.132999999999,116,46,196
2026,119.518,116.5,45,194
2027,120.614,119,48,196
2028,122.447,122,49,193
2029,123.512,124,47,191
2030,123.709,125,48,191
2031,124.300000000001,126,49,190
2032,124.791,126,47,190
2033,125.448,129,47,190
2034,125.571,130,49,190
2035,125.948,130,48,189
2036,126.205,131,48,187
2037,125.893,132,49,185
2038,125.916,132.5,49,185
2039,126.423,132,50,184
2040,126.22,132,48,184
2041,126.364,133,50,185
2042,126.464,133,51,184
2043,126.044,133,49,184
2044,125.789,132,48,184
2045,125.664999999999,131,49,183
