"year","mean","median","lcl","ucl"
2015,0.199258064516129,0.193548387096774,0.0967741935483871,0.32258064516129
2016,0.0813870967741941,0.0645161290322581,0,0.161290322580645
2017,0.112741935483871,0.129032258064516,0,0.225806451612903
2018,0.148967741935484,0.161290322580645,0,0.258064516129032
2019,0.167387096774193,0.161290322580645,0.032258064516129,0.290322580645161
2020,0.173483870967742,0.193548387096774,0.032258064516129,0.290322580645161
2021,0.171193548387097,0.161290322580645,0.032258064516129,0.290322580645161
2022,0.165451612903226,0.161290322580645,0.032258064516129,0.290322580645161
2023,0.159677419354839,0.161290322580645,0.032258064516129,0.290322580645161
2024,0.150677419354839,0.161290322580645,0,0.258064516129032
2025,0.149677419354839,0.161290322580645,0,0.290322580645161
2026,0.143870967741935,0.129032258064516,0.032258064516129,0.258064516129032
2027,0.142161290322581,0.129032258064516,0.032258064516129,0.258064516129032
2028,0.138645161290322,0.129032258064516,0,0.258064516129032
2029,0.136483870967742,0.129032258064516,0,0.258064516129032
2030,0.134032258064516,0.129032258064516,0,0.258064516129032
2031,0.128903225806452,0.129032258064516,0,0.258064516129032
2032,0.124645161290322,0.129032258064516,0,0.258064516129032
2033,0.119935483870968,0.0967741935483871,0,0.258064516129032
2034,0.116935483870968,0.0967741935483871,0,0.258064516129032
2035,0.117709677419355,0.0967741935483871,0,0.258064516129032
2036,0.111096774193548,0.0967741935483871,0,0.258064516129032
2037,0.109129032258064,0.0967741935483871,0,0.225806451612903
2038,0.108387096774194,0.0967741935483871,0,0.225806451612903
2039,0.10616129032258,0.0967741935483871,0,0.225806451612903
2040,0.104838709677419,0.0967741935483871,0,0.225806451612903
2041,0.104838709677419,0.0967741935483871,0,0.225806451612903
2042,0.103516129032258,0.0967741935483871,0,0.225806451612903
2043,0.10041935483871,0.0967741935483871,0,0.225806451612903
2044,0.101322580645161,0.0967741935483871,0,0.225806451612903
2045,0.0973870967741932,0.0967741935483871,0,0.225806451612903
