"year","mean","median","lcl","ucl"
2015,0.998,1,1,1
2016,0.994,1,1,1
2017,0.994,1,1,1
2018,0.997,1,1,1
2019,0.993,1,1,1
2020,0.987,1,1,1
2021,0.988,1,1,1
2022,0.977,1,1,1
2023,0.983,1,1,1
2024,0.981,1,1,1
2025,0.976,1,1,1
2026,0.974,1,1,1
2027,0.971,1,1,1
2028,0.966,1,1,1
2029,0.961000000000001,1,1,1
2030,0.956,1,1,1
2031,0.962,1,1,1
2032,0.955000000000001,1,1,1
2033,0.951,1,1,1
2034,0.952000000000001,1,1,1
2035,0.954,1,1,1
2036,0.949,1,0,1
2037,0.942,1,0,1
2038,0.942,1,0,1
2039,0.928999999999999,1,0,1
2040,0.921,1,0,1
2041,0.919000000000002,1,0,1
2042,0.918,1,0,1
2043,0.915,1,0,1
2044,0.913999999999999,1,0,1
2045,0.907000000000002,1,0,1
