"year","mean","median","lcl","ucl"
2015,55036.243,55097,51755,58206
2016,55172.538,55731.5,48177,57871
2017,55949.352,56867,48535,58594
2018,56212.006,57366.5,49051,58993
2019,56068.127,57256,49229,59122
2020,55707.337,56848.5,48908,58998
2021,55403.096,56390,48478,58847
2022,55028.921,55970.5,47647,58529
2023,54558.654,55456.5,47521,58334
2024,54208.461,55104,47307,58066
2025,53886.712,54618.5,46746,57879
2026,53478.316,54218.5,46398,57647
2027,53069.317,53872.5,45641,57516
2028,52779.073,53472,46471,57276
2029,52491.947,53214,44896,57090
2030,52221.611,52802,45140,56906
2031,51796.448,52399.5,44016,56694
2032,51492.6570000001,52134.5,43825,56562
2033,51350.7720000001,51945.5,43636,56361
2034,51151.423,51711,43750,56169
2035,50943.76,51452,43675,56050
2036,50765.329,51255,43371,55884
2037,50431.5760000001,51029.5,43224,55593
2038,50205.2650000001,50733.5,42428,55423
2039,50018.298,50441.5,42568,55237
2040,49881.061,50348.5,42693,54930
2041,49645.1029999999,50115,42544,54666
2042,49516.195,49939,42417,54460
2043,49386.04,49798.5,42012,54324
2044,49297.253,49715.5,42493,54171
2045,49056.35,49486.5,42036,53885
