"year","mean","median","lcl","ucl"
2015,0.549741935483871,0.548387096774194,0.290322580645161,0.806451612903226
2016,0.554645161290322,0.548387096774194,0.290322580645161,0.806451612903226
2017,0.526032258064515,0.516129032258065,0.258064516129032,0.806451612903226
2018,0.499322580645162,0.483870967741935,0.193548387096774,0.806451612903226
2019,0.474161290322579,0.483870967741935,0.129032258064516,0.806451612903226
2020,0.45141935483871,0.451612903225806,0.0967741935483871,0.806451612903226
2021,0.425290322580644,0.419354838709677,0.032258064516129,0.774193548387097
2022,0.406322580645161,0.419354838709677,0,0.774193548387097
2023,0.385677419354839,0.387096774193548,0,0.774193548387097
2024,0.367677419354838,0.387096774193548,0,0.774193548387097
2025,0.355741935483871,0.354838709677419,0,0.774193548387097
2026,0.343290322580645,0.354838709677419,0,0.774193548387097
2027,0.335161290322581,0.32258064516129,0,0.774193548387097
2028,0.326838709677419,0.32258064516129,0,0.774193548387097
2029,0.321645161290323,0.290322580645161,0,0.774193548387097
2030,0.314612903225806,0.290322580645161,0,0.774193548387097
2031,0.311483870967742,0.290322580645161,0,0.774193548387097
2032,0.30716129032258,0.258064516129032,0,0.774193548387097
2033,0.307387096774194,0.290322580645161,0,0.774193548387097
2034,0.304290322580645,0.258064516129032,0,0.774193548387097
2035,0.306096774193548,0.258064516129032,0,0.774193548387097
2036,0.306677419354838,0.258064516129032,0,0.774193548387097
2037,0.305483870967742,0.258064516129032,0,0.774193548387097
2038,0.30558064516129,0.258064516129032,0,0.741935483870968
2039,0.307935483870968,0.258064516129032,0,0.774193548387097
2040,0.306709677419355,0.258064516129032,0,0.774193548387097
2041,0.306193548387096,0.258064516129032,0,0.774193548387097
2042,0.307967741935483,0.258064516129032,0,0.774193548387097
2043,0.306419354838709,0.258064516129032,0,0.741935483870968
2044,0.307451612903226,0.258064516129032,0,0.774193548387097
2045,0.309677419354839,0.258064516129032,0,0.774193548387097
