"year","mean","median","lcl","ucl"
2015,5791.86,5852.5,5023,6095
2016,5631.227,5747,4748,5922
2017,5505.524,5668,4643,5828
2018,5409.225,5589.5,4548,5766
2019,5326.291,5500.5,4458,5704
2020,5236.245,5410,4336,5650
2021,5145.025,5327.5,4180,5603
2022,5071.005,5231.5,4146,5556
2023,4985.979,5141,4007,5507
2024,4895.414,5040,3910,5456
2025,4834.649,4961,3855,5409
2026,4776.884,4897,3777,5376
2027,4729.229,4843,3691,5352
2028,4693.291,4790.5,3677,5333
2029,4649.16199999999,4722.5,3674,5325
2030,4603.94400000001,4674.5,3616,5304
2031,4565.035,4649,3551,5274
2032,4508.74899999999,4596,3511,5256
2033,4459.367,4530,3444,5230
2034,4434.492,4490.5,3349,5219
2035,4403.07499999999,4462.5,3380,5191
2036,4378.63100000001,4431,3358,5174
2037,4360.75400000001,4407,3370,5154
2038,4315.02000000001,4350.5,3356,5130
2039,4287.984,4308.5,3306,5105
2040,4265.826,4282.5,3288,5072
2041,4236.51799999999,4241,3269,5033
2042,4205.255,4221.5,3297,4997
2043,4179.057,4194.5,3232,4964
2044,4140.95200000001,4166.5,3173,4930
2045,4125.328,4150.5,3201,4891
