"year","mean","median","lcl","ucl"
2015,134.268,135.5,54,215
2016,137.011,138.5,55,221
2017,143.255,145,55,231
2018,150.413999999999,150,56,245
2019,156.923000000001,156,58,260
2020,162.809999999999,160,61,273
2021,169.216,165,62,285
2022,174.674,170,62,299
2023,178.775999999999,174,62,301
2024,182.697,178.5,61,306
2025,185.905000000001,183,64,309
2026,188.499,187,63,307
2027,189.573,190,61,304
2028,190.61,191,61,300
2029,192.043999999999,195,65,300
2030,193.706000000001,198,63,304
2031,194.645999999999,200.5,65,306
2032,194.564000000001,202,66,300
2033,194.477000000001,202.5,64,301
2034,194.684999999999,205.5,65,297
2035,193.925000000001,205.5,62,293
2036,193.224000000001,206,64,289
2037,192.987999999999,208,64,288
2038,193.628999999999,210,66,286
2039,193.204999999999,208.5,66,285
2040,192.588,206.5,67,281
2041,192.803,207,69,278
2042,192.769,207,67,280
2043,192.52,206,70,281
2044,192.467999999999,206,72,282
2045,192.136000000001,203.5,68,280
