"year","mean","median","lcl","ucl"
2015,79.893,79,35,127
2016,81.9559999999999,81,36,132
2017,86.4829999999998,84,37,139
2018,91.3090000000004,90,37,149
2019,96.161,95,39,159
2020,100.380000000001,98,39,170
2021,104.271,101,38,178
2022,107.909,104,40,187
2023,110.513,108,39,191
2024,113.06,109,39,193
2025,115.682999999999,113.5,41,196
2026,117.167,115,40,196
2027,118.353000000001,118,40,194
2028,119.888,119.5,40,194
2029,121.251,122,39,192
2030,122.298,124,40,194
2031,123.431,125,39,193
2032,124.201,126,43,193
2033,124.453999999999,128,41,191
2034,124.653000000001,128.5,38,194
2035,124.733,130,42,190
2036,124.427,130,43,190
2037,124.425000000001,130.5,41,187
2038,123.748,129,43,186
2039,123.868,130,42,185
2040,123.855,131,42,184
2041,123.555,131.5,43,183
2042,124.054,132,43,184
2043,124.172,132,43,185
2044,123.885,131,45,185
2045,123.681,131.5,44,182
