"year","mean","median","lcl","ucl"
2015,55114.673,55178,51715,58231
2016,54607.491,55287.5,47010,57522
2017,54964.029,56082.5,46968,58246
2018,55271.148,56343,47881,58727
2019,55028.605,56007,48116,58760
2020,54553.997,55469.5,47154,58504
2021,53908.063,54742.5,46611,58240
2022,53243.839,54037.5,45486,57830
2023,52644.487,53441,45777,57556
2024,52110.413,52888,44246,57281
2025,51556.382,52093,43345,57055
2026,51086.876,51625.5,43067,56737
2027,50662.395,51206,42157,56544
2028,50191.326,50699,41635,56301
2029,49895.373,50371,41786,56099
2030,49543.422,50027.5,41537,55756
2031,49261.012,49819,40498,55530
2032,48954.641,49400.5,40364,55302
2033,48584.447,49190,39757,55112
2034,48198.436,48713.5,39923,54946
2035,48020.832,48566,39484,54739
2036,47793.185,48388,39122,54692
2037,47464.731,48077,38872,54404
2038,47166.85,47743.5,38387,54233
2039,46971.731,47508,38205,54112
2040,46827.864,47376.5,38023,53915
2041,46474.351,46974,38003,53675
2042,46405.944,46798.5,38427,53613
2043,46188.728,46558,37354,53452
2044,46051.128,46393,37379,53021
2045,45826.525,46095,37752,52953
