"year","mean","median","lcl","ucl"
2015,133.221,132,53,211
2016,132.747,131,51,211
2017,138.671,137,51,225
2018,149.25,148,55,244
2019,157.909,155.5,58,263
2020,165.112,165,56,277
2021,172.118,169,59,288
2022,177.484,176,59,296
2023,182.251,184.5,61,292
2024,186,189,62,293
2025,189.696,193,63,296
2026,192.636,199,65,296
2027,193.4,202,65,293
2028,193.192,203,66,289
2029,193.498,205,66,283
2030,193.775,208,65,282
2031,192.932,207,66,281
2032,192.297,206,67,278
2033,191.429,206,68,274
2034,190.543,206,68,273
2035,189.969,204.5,70,269
2036,188.158,203.5,68,267
2037,187.42,202,70,265
2038,186.724,200,73,267
2039,185.934,198,70,266
2040,185.59,198,71,268
2041,184.79,197,71,262
2042,184.281,197,71,261
2043,184.239,197.5,72,260
2044,183.681,194.5,71,259
2045,182.997,193,72,260
