"year","mean","median","lcl","ucl"
2015,80.893,80.5,32,128
2016,80.035,79,32,128
2017,82.784,82,31,134
2018,90.232,89,35,147
2019,96.22,95,36,160
2020,100.722,99,35,171
2021,106.01,104,36,181
2022,110.114,108,37,185
2023,112.801,113,37,185
2024,115.549,116.5,38,185
2025,117.98,120,37,187
2026,119.924,123,40,187
2027,121.02,125.5,40,186
2028,121.138,128,41,184
2029,120.885,127.5,41,180
2030,121.428,131,41,178
2031,121.118,129.5,42,177
2032,120.855,130,41,177
2033,120.31,129,41,174
2034,119.938,129,43,173
2035,119.336,128.5,43,170
2036,118.86,128,41,171
2037,117.952,127,43,169
2038,117.428,126,46,168
2039,117.059,125,45,170
2040,116.576,124,45,169
2041,116.428,123,45,168
2042,115.852,123,43,166
2043,115.96,124,47,165
2044,115.736,123,46,165
2045,115.383,122,44,164
