"year","mean","median","lcl","ucl"
2015,1,1,1,1
2016,1,1,1,1
2017,1,1,1,1
2018,1,1,1,1
2019,1,1,1,1
2020,1,1,1,1
2021,1,1,1,1
2022,1,1,1,1
2023,0.994,1,1,1
2024,0.994,1,1,1
2025,0.998,1,1,1
2026,0.998,1,1,1
2027,0.996,1,1,1
2028,1,1,1,1
2029,1,1,1,1
2030,1,1,1,1
2031,0.998,1,1,1
2032,0.994,1,1,1
2033,0.996,1,1,1
2034,0.992,1,1,1
2035,0.998,1,1,1
2036,0.994,1,1,1
2037,0.992,1,1,1
2038,0.99,1,1,1
2039,0.992,1,1,1
2040,0.986,1,1,1
2041,0.984,1,1,1
2042,0.986,1,1,1
2043,0.988,1,1,1
2044,0.988,1,1,1
2045,0.986,1,1,1
