"year","mean","median","lcl","ucl"
2015,5802.428,5854,5158,6103
2016,5574.784,5671,4752,5865
2017,5412.428,5547,4501,5777
2018,5269.685,5424.5,4340,5704
2019,5132.614,5285,4200,5631
2020,5008.48700000001,5139,4141,5564
2021,4859.078,4987,3898,5496
2022,4720.36899999999,4843,3686,5430
2023,4589.185,4682,3559,5371
2024,4472.38,4551,3387,5308
2025,4352.97699999999,4424.5,3174,5248
2026,4251.66100000001,4270.5,3110,5211
2027,4170.764,4184,2990,5193
2028,4091.36299999999,4115,2945,5156
2029,4018.40699999999,4038,2847,5103
2030,3952.52300000001,3954,2726,5072
2031,3899.75999999999,3902.5,2720,5066
2032,3847.382,3855,2611,5027
2033,3779.504,3802,2553,4981
2034,3731.67100000001,3750.5,2516,4943
2035,3697.292,3722.5,2509,4930
2036,3659.221,3667.5,2483,4875
2037,3608.473,3612.5,2431,4828
2038,3575.489,3598,2419,4792
2039,3530.248,3540.5,2409,4744
2040,3498.815,3500.5,2353,4735
2041,3462.73500000001,3469.5,2305,4712
2042,3431.25100000001,3444,2290,4687
2043,3406.603,3407,2262,4657
2044,3368.38499999999,3363,2195,4604
2045,3349.67799999999,3350,2226,4597
