"year","mean","median","lcl","ucl"
2015,0.999,1,1,1
2016,0.996,1,1,1
2017,0.994,1,1,1
2018,0.991,1,1,1
2019,0.983,1,1,1
2020,0.983,1,1,1
2021,0.973,1,1,1
2022,0.971,1,1,1
2023,0.973,1,1,1
2024,0.969,1,1,1
2025,0.956,1,1,1
2026,0.953,1,1,1
2027,0.944,1,0,1
2028,0.946,1,0,1
2029,0.921,1,0,1
2030,0.933,1,0,1
2031,0.914,1,0,1
2032,0.91,1,0,1
2033,0.903,1,0,1
2034,0.898,1,0,1
2035,0.894,1,0,1
2036,0.882,1,0,1
2037,0.892,1,0,1
2038,0.889,1,0,1
2039,0.877,1,0,1
2040,0.858,1,0,1
2041,0.837,1,0,1
2042,0.844,1,0,1
2043,0.846,1,0,1
2044,0.836,1,0,1
2045,0.844,1,0,1
