"year","mean","median","lcl","ucl"
2015,0.996,1,1,1
2016,0.994,1,1,1
2017,0.995,1,1,1
2018,0.986,1,1,1
2019,0.975,1,1,1
2020,0.967,1,1,1
2021,0.967,1,1,1
2022,0.954,1,1,1
2023,0.945,1,0,1
2024,0.936,1,0,1
2025,0.937999999999999,1,0,1
2026,0.93,1,0,1
2027,0.916999999999999,1,0,1
2028,0.928000000000001,1,0,1
2029,0.922999999999999,1,0,1
2030,0.913999999999999,1,0,1
2031,0.895999999999999,1,0,1
2032,0.895999999999999,1,0,1
2033,0.89,1,0,1
2034,0.878999999999999,1,0,1
2035,0.872999999999999,1,0,1
2036,0.851999999999999,1,0,1
2037,0.851999999999999,1,0,1
2038,0.845000000000001,1,0,1
2039,0.815000000000002,1,0,1
2040,0.829000000000002,1,0,1
2041,0.817000000000002,1,0,1
2042,0.809000000000002,1,0,1
2043,0.807999999999998,1,0,1
2044,0.805999999999999,1,0,1
2045,0.799999999999999,1,0,1
