"year","mean","median","lcl","ucl"
2015,55023.218,55028.5,51925,58278
2016,55620.378,56176,48438,58189
2017,56665.874,57584.5,49664,58936
2018,57117.639,58250,50462,59454
2019,57206.799,58301,51000,59522
2020,57071.372,58089.5,51047,59405
2021,56698.787,57791.5,50329,59123
2022,56522.733,57507.5,50444,58959
2023,56101.902,57204.5,49754,58700
2024,55813.402,56845.5,49469,58517
2025,55464.979,56541.5,49311,58300
2026,55139.998,56166,49013,58099
2027,54950.687,55906.5,47968,57918
2028,54807.248,55605,48943,57660
2029,54510.784,55386.5,48550,57481
2030,54331.388,55097,48368,57383
2031,54110.311,54936,48158,57219
2032,53839.992,54745,47353,57030
2033,53710.618,54480.5,47759,56786
2034,53430.629,54174,47062,56614
2035,53252.463,53943.5,47198,56472
2036,52983.25,53744,46801,56247
2037,52886.362,53523.5,47240,56148
2038,52673.909,53359.5,46070,55942
2039,52519.652,53189,46231,55747
2040,52331.855,52920,46797,55540
2041,52066.616,52615,46121,55401
2042,51888.557,52386,46210,55178
2043,51538.703,52146,45291,54964
2044,51406.978,52018,45486,54664
2045,51100.529,51706,44934,54461
