"year","mean","median","lcl","ucl"
2015,5793.098,5851,5075,6083
2016,5676.524,5775,4861,5941
2017,5585.296,5723,4754,5855
2018,5508.732,5665.5,4718,5784
2019,5435.621,5598,4654,5728
2020,5348.58899999999,5521,4525,5672
2021,5291.917,5458.5,4489,5620
2022,5213.088,5389.5,4396,5574
2023,5150.59099999999,5317.5,4325,5532
2024,5081.208,5242.5,4220,5488
2025,5015.179,5162,4255,5446
2026,4980.965,5123,4093,5421
2027,4955.094,5076,4186,5394
2028,4913.713,5026,4105,5368
2029,4885.883,4988.5,4113,5349
2030,4854.199,4956.5,4058,5333
2031,4817.416,4928,4019,5316
2032,4797.986,4895,3965,5295
2033,4760.313,4857,3940,5271
2034,4733.633,4827.5,3929,5255
2035,4698.048,4784.5,3887,5232
2036,4678.404,4748.5,3899,5212
2037,4646.807,4718,3855,5185
2038,4621.64200000001,4678.5,3870,5160
2039,4591.725,4647,3846,5128
2040,4554.243,4612,3815,5098
2041,4527.16,4568,3781,5062
2042,4480.094,4513,3725,5032
2043,4455.092,4489.5,3708,4999
2044,4412.282,4452.5,3669,4969
2045,4378.185,4425,3620,4941
