"year","mean","median","lcl","ucl"
2015,136.506,136,58,217
2016,141.810999999999,140,61,223
2017,148.589,149,61,235
2018,154.085000000001,153,64,244
2019,159.038999999999,156.5,69,255
2020,163.002,161,68,263
2021,166.959000000001,163,67,277
2022,170.695,168.5,68,285
2023,174.188000000001,172.5,70,291
2024,177.029000000001,174,70,301
2025,179.685999999999,178,69,301
2026,181.951999999999,178,73,304
2027,183.832000000001,180,72,306
2028,186.423000000001,183,72,309
2029,188.891,186,72,312
2030,190.514000000001,188,69,312
2031,192.042999999999,192,72,311
2032,193.735,193,73,311
2033,195.295000000001,194,73,313
2034,196.234,194,72,313
2035,196.916999999999,196,72,315
2036,197.450999999999,194,69,313
2037,198.541999999999,195,70,313
2038,199.197,197.5,71,308
2039,199.857,200,70,307
2040,200.976000000001,200,66,309
2041,201.681,201,69,313
2042,201.427,200,70,310
2043,201.443000000001,202,69,313
2044,201.552,203,68,309
2045,201.555,205,72,305
