"year","mean","median","lcl","ucl"
2015,82.0240000000003,81,35,129
2016,87.1140000000004,86,38,139
2017,93.2740000000003,92,39,149
2018,98.1559999999994,98.5,39,159
2019,101.732,101,42,161
2020,105.035,104,45,171
2021,107.453,106,43,176
2022,109.972,109,45,185
2023,112.499,111,46,189
2024,114.592,113,46,194
2025,116.438000000001,116,46,197
2026,117.756,116.5,46,197
2027,119.061999999999,117,46,199
2028,120.517,118,46,202
2029,122.256,120.5,47,205
2030,123.538,122,45,203
2031,124.765,123,46,205
2032,126.050000000001,125.5,47,206
2033,127.051,127,47,205
2034,128.22,128,48,205
2035,128.435999999999,127,47,205
2036,128.846,128,47,206
2037,129.243,128,45,205
2038,129.971,130,46,205
2039,130.209,130,45,202
2040,131.094,131,45,203
2041,131.717999999999,131.5,43,202
2042,131.97,132,46,204
2043,131.894,133,45,203
2044,132.069,134,45,203
2045,131.816,134.5,47,201
