"year","mean","median","lcl","ucl"
2015,0.997,1,1,1
2016,0.995,1,1,1
2017,0.996,1,1,1
2018,0.989,1,1,1
2019,0.988,1,1,1
2020,0.982,1,1,1
2021,0.989,1,1,1
2022,0.985,1,1,1
2023,0.982,1,1,1
2024,0.971,1,1,1
2025,0.973,1,1,1
2026,0.967,1,1,1
2027,0.974,1,1,1
2028,0.961,1,1,1
2029,0.962,1,1,1
2030,0.961,1,1,1
2031,0.957,1,1,1
2032,0.942,1,0,1
2033,0.954,1,1,1
2034,0.941,1,0,1
2035,0.947,1,0,1
2036,0.946,1,0,1
2037,0.942,1,0,1
2038,0.947,1,0,1
2039,0.946,1,0,1
2040,0.931,1,0,1
2041,0.932,1,0,1
2042,0.928,1,0,1
2043,0.926,1,0,1
2044,0.927,1,0,1
2045,0.932,1,0,1
