"year","mean","median","lcl","ucl"
2015,0.997,1,1,1
2016,0.993,1,1,1
2017,0.993,1,1,1
2018,0.993,1,1,1
2019,0.991,1,1,1
2020,0.988,1,1,1
2021,0.986,1,1,1
2022,0.981,1,1,1
2023,0.979,1,1,1
2024,0.978,1,1,1
2025,0.979,1,1,1
2026,0.975,1,1,1
2027,0.964,1,1,1
2028,0.97,1,1,1
2029,0.956999999999999,1,1,1
2030,0.956,1,1,1
2031,0.954,1,1,1
2032,0.954,1,1,1
2033,0.948,1,0,1
2034,0.940000000000001,1,0,1
2035,0.940999999999999,1,0,1
2036,0.945,1,0,1
2037,0.939,1,0,1
2038,0.942,1,0,1
2039,0.939,1,0,1
2040,0.925999999999999,1,0,1
2041,0.905999999999999,1,0,1
2042,0.922999999999999,1,0,1
2043,0.922000000000001,1,0,1
2044,0.921,1,0,1
2045,0.921,1,0,1
