"year","mean","median","lcl","ucl"
2015,54985.636,54979,51729,58508
2016,60925.299,61536,52781,63990
2017,65017.957,65898.5,58359,67440
2018,67073.315,67710,62758,69025
2019,67655.454,68068,64303,69374
2020,67633.728,67952.5,64480,69261
2021,67356.281,67663,64271,68975
2022,67101.347,67371,63981,68766
2023,66830.551,67049,64001,68489
2024,66552.216,66764.5,63666,68279
2025,66252.205,66486.5,63253,67987
2026,65977.709,66223,63016,67793
2027,65750.508,65977.5,62885,67630
2028,65535.949,65785.5,62607,67520
2029,65346.688,65595.5,61934,67346
2030,65152.228,65381,61845,67166
2031,64952.333,65186.5,61482,66962
2032,64804.777,64975.5,61729,66852
2033,64642.926,64755.5,61606,66704
2034,64405.537,64524.5,61359,66505
2035,64230.201,64323.5,61067,66342
2036,64032.918,64142,60691,66153
2037,63793.725,63953,60478,65925
2038,63601.304,63705.5,60733,65663
2039,63313.576,63451,59894,65408
2040,63079.427,63161.5,59782,65219
2041,62728.55,62908.5,58941,64993
2042,62474.05,62611.5,59160,64723
2043,62259.7,62370.5,58679,64497
2044,62038.455,62091,59214,64258
2045,61796.43,61939,57924,64005
