"year","mean","median","lcl","ucl"
2015,133.913,137,58,210
2016,136.347999999999,136,59,218
2017,142.998,144,62,227
2018,149.202,149,62,244
2019,156.602,156,62,256
2020,163.612999999999,164.5,65,264
2021,169.314000000001,169,67,278
2022,173.546000000001,173,67,285
2023,178.051,174.5,67,299
2024,182.291999999999,178,70,308
2025,185.663,181,70,310
2026,188.14,185,68,310
2027,190.249,187,66,314
2028,191.882999999999,190,70,312
2029,194.440000000001,194.5,68,313
2030,196.045000000001,195,69,314
2031,197.542999999999,200,69,310
2032,199.209000000001,201,72,312
2033,200.959000000001,204,72,311
2034,201.867000000001,204,72,314
2035,203.831000000001,208.5,73,315
2036,205.710000000001,211,74,316
2037,206.513000000001,211,73,314
2038,207.039,213.5,73,314
2039,208.510000000001,216,73,315
2040,210.115999999999,218,72,315
2041,210.952999999999,221.5,72,314
2042,211.673,221.5,74,316
2043,212.555,225.5,74,316
2044,212.811999999999,229,72,316
2045,213.757999999999,231,71,317
