"year","mean","median","lcl","ucl"
2015,79.1909999999997,79,36,125
2016,81.2920000000002,80,37,130
2017,86.6729999999996,85,39,137
2018,91.2010000000006,90,38,147
2019,95.8560000000002,95,39,154
2020,101.199,99,42,169
2021,105.316,102,44,181
2022,108.201,106,43,187
2023,110.199999999999,108,44,188
2024,112.188000000001,109,47,194
2025,114.386,111.5,45,198
2026,116.851,115,47,199
2027,118.406,114,47,202
2028,120.03,117,45,202
2029,121.63,118,46,201
2030,122.813000000001,119,48,200
2031,123.846999999999,119.5,50,200
2032,125.384000000001,123,50,201
2033,126.695,125,52,204
2034,127.524,126,49,205
2035,129.106,129,49,203
2036,130.277000000001,129,50,204
2037,131.074,130.5,49,203
2038,131.583,132,51,202
2039,132.622,136.5,51,202
2040,133.689000000001,138,52,205
2041,135.342,139,52,207
2042,136.225,143,51,206
2043,137.260000000001,143.5,51,205
2044,137.789999999999,145,50,206
2045,137.775999999999,147,52,208
