"year","mean","median","lcl","ucl"
2015,0.998,1,1,1
2016,0.998,1,1,1
2017,0.993,1,1,1
2018,0.988,1,1,1
2019,0.989,1,1,1
2020,0.988,1,1,1
2021,0.986,1,1,1
2022,0.983,1,1,1
2023,0.978,1,1,1
2024,0.978,1,1,1
2025,0.972,1,1,1
2026,0.969,1,1,1
2027,0.97,1,1,1
2028,0.968,1,1,1
2029,0.972,1,1,1
2030,0.964,1,1,1
2031,0.966,1,1,1
2032,0.952999999999999,1,1,1
2033,0.946999999999999,1,0,1
2034,0.952999999999999,1,1,1
2035,0.954,1,1,1
2036,0.949999999999999,1,0,1
2037,0.945,1,0,1
2038,0.937999999999999,1,0,1
2039,0.939,1,0,1
2040,0.940999999999999,1,0,1
2041,0.933,1,0,1
2042,0.915,1,0,1
2043,0.928000000000001,1,0,1
2044,0.922000000000001,1,0,1
2045,0.910999999999999,1,0,1
