"year","mean","median","lcl","ucl"
2015,55115.289,55065,51806,58415
2016,55198.524,55781.5,48011,57826
2017,55898.493,56887,48400,58538
2018,56209.954,57399,49105,59041
2019,56049.475,57256,48978,59164
2020,55770.438,56830,49295,58953
2021,55387.578,56385,48336,58696
2022,54930.241,55906.5,48268,58427
2023,54619.898,55491,47490,58158
2024,54183.575,55004.5,47117,57795
2025,53786.463,54732.5,46774,57557
2026,53415.058,54301.5,45737,57351
2027,53131.958,53834.5,46212,57260
2028,52745.871,53478.5,45154,57204
2029,52374.668,53192,44319,56961
2030,52064.246,52810.5,44918,56831
2031,51857.779,52438.5,43688,56646
2032,51540.5659999999,52078.5,43947,56304
2033,51321.959,51803.5,44396,56137
2034,51090.1300000001,51553.5,43812,55869
2035,50814.653,51219,43493,55802
2036,50604.563,51007.5,42991,55633
2037,50407.744,50871.5,42968,55525
2038,50156.083,50625.5,42925,55214
2039,49873.127,50357.5,42343,54912
2040,49853.748,50321,42415,54839
2041,49610.497,50087,42019,54527
2042,49350.063,49872.5,41663,54490
2043,49184.112,49701,41760,54258
2044,49051.46,49530.5,42218,53999
2045,48918.984,49387,42221,53808
