"year","mean","median","lcl","ucl"
2015,5793.369,5851,5027,6096
2016,5634.443,5749.5,4795,5918
2017,5522.031,5676,4678,5824
2018,5414.607,5595.5,4574,5750
2019,5321.138,5506,4521,5693
2020,5231.44,5414,4345,5639
2021,5138.771,5296.5,4304,5581
2022,5070.831,5204,4177,5536
2023,4987.574,5118.5,4038,5484
2024,4911.878,5039.5,3989,5437
2025,4839.859,4970.5,3942,5397
2026,4791.87099999999,4902,3887,5370
2027,4734.69499999999,4839.5,3783,5347
2028,4678.71300000001,4792.5,3642,5327
2029,4628.304,4732.5,3682,5307
2030,4593,4684,3598,5292
2031,4546.905,4632.5,3569,5261
2032,4513.706,4575.5,3606,5231
2033,4480.655,4528.5,3575,5203
2034,4442.69499999999,4488,3538,5191
2035,4415.516,4465.5,3491,5175
2036,4385.31699999999,4418,3458,5139
2037,4348.01799999999,4397.5,3460,5107
2038,4308.747,4356,3319,5075
2039,4296.52300000001,4336.5,3357,5052
2040,4261.304,4293.5,3330,5028
2041,4225.921,4258,3271,5001
2042,4198.48200000001,4231.5,3280,4972
2043,4175.628,4202,3289,4941
2044,4152.88199999999,4161.5,3307,4892
2045,4116.073,4128.5,3204,4852
