"year","mean","median","lcl","ucl"
2015,133.163,134,57,208
2016,135.442000000001,135,58,215
2017,140.788999999999,141,59,228
2018,147.714,147,62,236
2019,154.335000000001,154,63,248
2020,159.856,158,62,264
2021,164.987,162,64,274
2022,170.155000000001,167,60,284
2023,175.242000000001,171,62,293
2024,179.006999999999,174,62,297
2025,182.764000000001,180.5,59,297
2026,185.408,185,61,299
2027,187.987999999999,190.5,62,305
2028,189.676,192,65,301
2029,191.577999999999,191,66,301
2030,192.936999999999,196,69,298
2031,193.487999999999,198,67,296
2032,194.293999999999,200,67,296
2033,194.308999999999,202,67,294
2034,194.413999999999,202,67,292
2035,194.755999999999,202,70,293
2036,195.290999999999,204,67,291
2037,195.48,204,70,291
2038,195.178,205,69,289
2039,195.845999999999,208,68,288
2040,195.782000000001,208,67,292
2041,196.435999999999,208,68,290
2042,195.652000000001,208.5,68,289
2043,195.645,205.5,68,287
2044,195.336000000001,207,72,285
2045,195.443000000001,205,70,284
