"year","mean","median","lcl","ucl"
2015,79.8059999999998,79,33,126
2016,82.3920000000002,82,33,129
2017,85.9460000000001,86,34,137
2018,91.2490000000002,91,36,148
2019,95.9919999999998,95,38,160
2020,100.314,99,37,166
2021,103.954,102,38,173
2022,108.128,107,38,180
2023,111.179,109.5,40,185
2024,114.072,112.5,40,193
2025,116.746000000001,115,39,195
2026,118.908,117,41,196
2027,119.909,120,39,195
2028,121.474000000001,122,40,198
2029,122.060999999999,122,42,197
2030,123.438000000001,124,41,196
2031,123.387,126,42,193
2032,124.045000000001,127,43,195
2033,124.645,126,41,194
2034,124.495,127,44,192
2035,124.719,128,45,190
2036,124.623,127,45,191
2037,124.712,129.5,46,189
2038,124.273,130,45,188
2039,123.769,129,46,187
2040,123.577,129.5,44,185
2041,123.708,130,46,185
2042,123.586,129,49,183
2043,123.926,128,47,182
2044,123.949,130,46,181
2045,123.881,130,49,184
