"year","mean","median","lcl","ucl"
2015,0.20258064516129,0.193548387096774,0.0967741935483871,0.32258064516129
2016,0.0842903225806453,0.0967741935483871,0,0.161290322580645
2017,0.113967741935484,0.129032258064516,0,0.225806451612903
2018,0.153677419354839,0.161290322580645,0.032258064516129,0.258064516129032
2019,0.166612903225807,0.161290322580645,0.032258064516129,0.258064516129032
2020,0.174096774193548,0.193548387096774,0.032258064516129,0.290322580645161
2021,0.169225806451613,0.17741935483871,0.032258064516129,0.258064516129032
2022,0.165096774193548,0.161290322580645,0.032258064516129,0.258064516129032
2023,0.158806451612903,0.161290322580645,0.032258064516129,0.290322580645161
2024,0.154709677419355,0.161290322580645,0.032258064516129,0.290322580645161
2025,0.15358064516129,0.161290322580645,0,0.290322580645161
2026,0.146870967741936,0.161290322580645,0.032258064516129,0.258064516129032
2027,0.141870967741935,0.129032258064516,0.032258064516129,0.258064516129032
2028,0.137548387096774,0.129032258064516,0,0.258064516129032
2029,0.134064516129032,0.129032258064516,0,0.258064516129032
2030,0.129709677419354,0.129032258064516,0,0.258064516129032
2031,0.127870967741935,0.129032258064516,0,0.258064516129032
2032,0.125258064516129,0.129032258064516,0.032258064516129,0.258064516129032
2033,0.120677419354838,0.129032258064516,0,0.258064516129032
2034,0.116516129032258,0.0967741935483871,0,0.258064516129032
2035,0.114774193548387,0.0967741935483871,0,0.258064516129032
2036,0.109645161290323,0.0967741935483871,0,0.225806451612903
2037,0.106258064516129,0.0967741935483871,0,0.225806451612903
2038,0.104612903225807,0.0967741935483871,0,0.225806451612903
2039,0.102677419354839,0.0967741935483871,0,0.225806451612903
2040,0.102709677419355,0.0967741935483871,0,0.225806451612903
2041,0.101225806451613,0.0967741935483871,0,0.225806451612903
2042,0.0997419354838707,0.0967741935483871,0,0.225806451612903
2043,0.0981290322580648,0.0967741935483871,0,0.225806451612903
2044,0.0963225806451611,0.0967741935483871,0,0.225806451612903
2045,0.0947096774193546,0.0967741935483871,0,0.225806451612903
