"year","mean","median","lcl","ucl"
2015,55160.47,55208.5,51946,58405
2016,55215.177,55784,48027,57890
2017,55921.225,56835,48531,58545
2018,56231.575,57282.5,49615,58841
2019,55951.109,57058,49420,58852
2020,55634.399,56674,48927,58620
2021,55198.565,56144.5,48976,58348
2022,54717.5,55650.5,48163,58044
2023,54215.52,55165.5,47427,57704
2024,53797.21,54680.5,46972,57422
2025,53325.344,54245,45912,57133
2026,52989.727,53715.5,46084,56835
2027,52530.041,53273.5,45352,56514
2028,52152.734,52841.5,44898,56313
2029,51731.221,52408.5,44338,56033
2030,51441.928,52015,44956,55785
2031,51098.52,51612.5,43949,55581
2032,50870.758,51368.5,43446,55218
2033,50531.734,50970.5,43615,54948
2034,50172.536,50757,42852,54746
2035,49901.66,50373,42595,54554
2036,49729.0220000001,50262,42116,54393
2037,49524.766,50145.5,41921,54209
2038,49295.247,49975.5,41938,54111
2039,48994.5760000001,49693,41734,53915
2040,48875.693,49552.5,41463,53817
2041,48713.382,49345.5,41051,53442
2042,48530.687,49168.5,41259,53336
2043,48362.721,48903.5,41051,53114
2044,48088.976,48719,40992,52922
2045,47905.071,48467.5,40838,52703
