"year","mean","median","lcl","ucl"
2015,0.549064516129032,0.548387096774194,0.290322580645161,0.806451612903226
2016,0.553903225806452,0.548387096774194,0.32258064516129,0.806451612903226
2017,0.526677419354839,0.516129032258065,0.258064516129032,0.774193548387097
2018,0.498580645161291,0.5,0.193548387096774,0.774193548387097
2019,0.473096774193547,0.483870967741935,0.161290322580645,0.774193548387097
2020,0.448612903225806,0.451612903225806,0.0967741935483871,0.774193548387097
2021,0.423483870967742,0.419354838709677,0.0645161290322581,0.774193548387097
2022,0.403677419354839,0.419354838709677,0,0.774193548387097
2023,0.384322580645162,0.387096774193548,0,0.774193548387097
2024,0.365290322580645,0.370967741935484,0,0.741935483870968
2025,0.351387096774194,0.354838709677419,0,0.741935483870968
2026,0.335419354838709,0.32258064516129,0,0.741935483870968
2027,0.323774193548387,0.32258064516129,0,0.741935483870968
2028,0.313483870967742,0.290322580645161,0,0.741935483870968
2029,0.308032258064516,0.290322580645161,0,0.741935483870968
2030,0.30041935483871,0.290322580645161,0,0.709677419354839
2031,0.295516129032258,0.258064516129032,0,0.741935483870968
2032,0.294193548387097,0.258064516129032,0,0.709677419354839
2033,0.293645161290322,0.258064516129032,0,0.741935483870968
2034,0.292516129032258,0.258064516129032,0,0.709677419354839
2035,0.291129032258065,0.258064516129032,0,0.741935483870968
2036,0.290483870967742,0.258064516129032,0,0.741935483870968
2037,0.291,0.258064516129032,0,0.741935483870968
2038,0.292096774193549,0.258064516129032,0,0.741935483870968
2039,0.29341935483871,0.258064516129032,0,0.741935483870968
2040,0.291612903225807,0.258064516129032,0,0.741935483870968
2041,0.292354838709678,0.241935483870968,0,0.741935483870968
2042,0.29216129032258,0.258064516129032,0,0.741935483870968
2043,0.290387096774194,0.258064516129032,0,0.741935483870968
2044,0.287935483870968,0.225806451612903,0,0.741935483870968
2045,0.288354838709677,0.225806451612903,0,0.741935483870968
