"year","mean","median","lcl","ucl"
2015,5784.831,5835.5,4996,6102
2016,5614.877,5740,4742,5925
2017,5486.328,5656.5,4654,5814
2018,5385.846,5563,4583,5731
2019,5294.018,5458.5,4518,5662
2020,5184.465,5347.5,4370,5595
2021,5085.437,5238.5,4214,5533
2022,4978.492,5126.5,4098,5468
2023,4890.78,5036,3918,5412
2024,4818.67799999999,4946.5,3907,5358
2025,4729.49,4852,3760,5292
2026,4662.35700000001,4774.5,3697,5252
2027,4609.69,4724.5,3643,5210
2028,4552.086,4648,3637,5182
2029,4495.231,4563.5,3542,5154
2030,4451.78400000001,4507,3522,5125
2031,4420.665,4489.5,3447,5104
2032,4390.427,4449.5,3507,5077
2033,4350.384,4401,3440,5043
2034,4321.25600000001,4367.5,3375,5018
2035,4289.56999999999,4329.5,3391,4983
2036,4252.021,4284,3384,4961
2037,4219.813,4258.5,3324,4936
2038,4190.25600000001,4227.5,3300,4908
2039,4159.04799999999,4201,3290,4878
2040,4141.256,4174,3284,4848
2041,4114.78400000001,4151,3240,4820
2042,4090.941,4128,3172,4793
2043,4053.475,4087,3112,4777
2044,4030.33299999999,4074.5,3171,4753
2045,3997.837,4027,3181,4721
