"year","mean","median","lcl","ucl"
2015,134.588,134,61,211
2016,137.387,137,63,218
2017,143.239,145,63,226
2018,150.797000000001,150,66,238
2019,157.268,157.5,68,254
2020,163.472999999999,163,68,265
2021,169.792999999999,169,69,280
2022,175.082000000001,174,68,294
2023,179.674,177,72,301
2024,184.714,182,75,306
2025,188.454999999999,184,75,309
2026,191.545000000001,192,75,309
2027,194.226000000001,195,78,308
2028,196.049000000001,197,77,307
2029,197.396999999999,201,78,308
2030,197.987999999999,203,77,305
2031,198.719999999999,206,76,304
2032,198.856,205,76,300
2033,198.748,206.5,74,298
2034,198.57,207,73,298
2035,198.245000000001,204.5,72,297
2036,198.009000000001,206,72,290
2037,198.277000000001,209,73,292
2038,198.164999999999,210,75,288
2039,197.537,208,75,287
2040,196.976000000001,208,73,283
2041,197.073,209,74,283
2042,197.539999999999,208.5,75,284
2043,198.217999999999,212,74,283
2044,199.27,210,77,282
2045,198.722999999999,208,74,283
