"year","mean","median","lcl","ucl"
2015,81.1969999999999,81,36,126
2016,83.7429999999997,83,38,133
2017,87.8429999999996,88,39,141
2018,93.4190000000001,94,41,150
2019,98.2609999999996,98,42,158
2020,102.332,103,43,167
2021,106.458999999999,105,44,177
2022,110.281,110,43,185
2023,113.444,113,44,192
2024,116.453,115,47,195
2025,119.737,117,48,198
2026,121.226,120,47,199
2027,123.15,124,50,198
2028,124.693000000001,124.5,48,196
2029,125.539999999999,125.5,49,196
2030,126.318000000001,129,48,198
2031,126.507999999999,130,49,195
2032,126.947,131,46,192
2033,126.701,131,47,192
2034,126.563000000001,132,44,192
2035,126.559,131,45,190
2036,126.363,131,46,187
2037,126.767,133,47,188
2038,126.549,134,47,187
2039,126.062,133,49,185
2040,126.088,132.5,47,183
2041,125.586,132,46,182
2042,125.837,132.5,49,182
2043,126.624,134,49,186
2044,127.342,135,49,182
2045,127.255,133,49,181
