"year","mean","median","lcl","ucl"
2015,0.197064516129032,0.193548387096774,0.0967741935483871,0.32258064516129
2016,0.083258064516129,0.0967741935483871,0,0.161290322580645
2017,0.109290322580645,0.0967741935483871,0,0.193548387096774
2018,0.151483870967742,0.161290322580645,0,0.258064516129032
2019,0.170129032258064,0.193548387096774,0,0.290322580645161
2020,0.174677419354839,0.193548387096774,0.032258064516129,0.290322580645161
2021,0.172419354838709,0.193548387096774,0.032258064516129,0.290322580645161
2022,0.166516129032258,0.161290322580645,0.032258064516129,0.258064516129032
2023,0.162806451612903,0.161290322580645,0.032258064516129,0.290322580645161
2024,0.165193548387097,0.161290322580645,0.032258064516129,0.290322580645161
2025,0.158516129032259,0.161290322580645,0,0.290322580645161
2026,0.143,0.129032258064516,0.032258064516129,0.258064516129032
2027,0.139612903225807,0.129032258064516,0,0.258064516129032
2028,0.136483870967742,0.129032258064516,0,0.258064516129032
2029,0.131258064516129,0.129032258064516,0.032258064516129,0.258064516129032
2030,0.12941935483871,0.129032258064516,0,0.258064516129032
2031,0.126741935483871,0.129032258064516,0,0.258064516129032
2032,0.122354838709678,0.129032258064516,0,0.258064516129032
2033,0.121096774193548,0.129032258064516,0,0.225806451612903
2034,0.117322580645161,0.0967741935483871,0,0.225806451612903
2035,0.114,0.0967741935483871,0,0.225806451612903
2036,0.114258064516129,0.0967741935483871,0,0.225806451612903
2037,0.114935483870967,0.0967741935483871,0,0.225806451612903
2038,0.112645161290322,0.0967741935483871,0,0.225806451612903
2039,0.110354838709677,0.0967741935483871,0,0.225806451612903
2040,0.11058064516129,0.0967741935483871,0,0.225806451612903
2041,0.109354838709678,0.0967741935483871,0,0.225806451612903
2042,0.109612903225807,0.0967741935483871,0,0.225806451612903
2043,0.110193548387096,0.0967741935483871,0,0.225806451612903
2044,0.109032258064516,0.0967741935483871,0,0.225806451612903
2045,0.105774193548387,0.0967741935483871,0,0.225806451612903
