"year","mean","median","lcl","ucl"
2015,0.998,1,1,1
2016,0.996,1,1,1
2017,0.997,1,1,1
2018,0.996,1,1,1
2019,0.993,1,1,1
2020,0.989,1,1,1
2021,0.984,1,1,1
2022,0.985,1,1,1
2023,0.986,1,1,1
2024,0.984,1,1,1
2025,0.975,1,1,1
2026,0.973,1,1,1
2027,0.975,1,1,1
2028,0.972,1,1,1
2029,0.965,1,1,1
2030,0.967,1,1,1
2031,0.967,1,1,1
2032,0.965,1,1,1
2033,0.95,1,0,1
2034,0.944,1,0,1
2035,0.945,1,0,1
2036,0.946,1,0,1
2037,0.929,1,0,1
2038,0.932,1,0,1
2039,0.93,1,0,1
2040,0.915,1,0,1
2041,0.916,1,0,1
2042,0.926,1,0,1
2043,0.91,1,0,1
2044,0.919,1,0,1
2045,0.911,1,0,1
