"year","mean","median","lcl","ucl"
2015,0.994,1,1,1
2016,0.994,1,1,1
2017,0.995,1,1,1
2018,0.996,1,1,1
2019,0.993,1,1,1
2020,0.989,1,1,1
2021,0.989,1,1,1
2022,0.986,1,1,1
2023,0.981,1,1,1
2024,0.98,1,1,1
2025,0.977,1,1,1
2026,0.984,1,1,1
2027,0.972,1,1,1
2028,0.959,1,1,1
2029,0.959,1,1,1
2030,0.961000000000001,1,1,1
2031,0.964,1,1,1
2032,0.951,1,1,1
2033,0.946,1,0,1
2034,0.951,1,1,1
2035,0.943999999999999,1,0,1
2036,0.93,1,0,1
2037,0.934000000000001,1,0,1
2038,0.934999999999999,1,0,1
2039,0.934000000000001,1,0,1
2040,0.93,1,0,1
2041,0.927,1,0,1
2042,0.924,1,0,1
2043,0.925999999999999,1,0,1
2044,0.913999999999999,1,0,1
2045,0.913000000000002,1,0,1
