"year","mean","median","lcl","ucl"
2015,5794.108,5851.5,5071,6075
2016,5609.174,5732,4739,5887
2017,5483.187,5623,4701,5765
2018,5358.225,5514.5,4536,5669
2019,5230.315,5392,4400,5571
2020,5102.791,5268.5,4255,5484
2021,4985.226,5147,4206,5393
2022,4887.935,5036,4074,5306
2023,4775.39,4903,3985,5222
2024,4658.83000000001,4786,3763,5132
2025,4550.45500000001,4675.5,3656,5049
2026,4471.77599999999,4585,3600,4998
2027,4395.384,4491,3562,4956
2028,4340.259,4423.5,3493,4917
2029,4291.61000000001,4362.5,3454,4883
2030,4232.49800000001,4299,3284,4856
2031,4200.226,4265.5,3351,4821
2032,4161.726,4218,3351,4799
2033,4115.669,4161.5,3239,4778
2034,4087.498,4114.5,3286,4756
2035,4051.06399999999,4085,3233,4721
2036,4011.643,4039,3217,4688
2037,3969.975,4004,3101,4654
2038,3924.03600000001,3943,3033,4616
2039,3878.14200000001,3880,3056,4573
2040,3841.17599999999,3856.5,3027,4534
2041,3804.994,3815.5,2969,4497
2042,3766.104,3775,2976,4443
2043,3730.84,3743,2959,4405
2044,3691.435,3700,2938,4367
2045,3649.665,3665,2870,4317
