"year","mean","median","lcl","ucl"
2015,134.688,132,65,213
2016,137.07,135,66,215
2017,142.800000000001,140,68,226
2018,150.074999999999,147,69,245
2019,156.259000000001,153,68,256
2020,161.91,158,69,269
2021,168.303,164,73,284
2022,173.222999999999,167,72,291
2023,177.695,170,71,298
2024,181.871000000001,175.5,76,300
2025,184.895,180,78,306
2026,187.559999999999,182.5,77,305
2027,189.413999999999,185.5,78,300
2028,191.448,188.5,78,301
2029,192.592,188,78,300
2030,193.903000000001,192,76,298
2031,193.735999999999,194,77,295
2032,193.699,194,76,294
2033,193.602000000001,199,77,293
2034,193.155000000001,198,79,291
2035,193.040999999999,198.5,78,287
2036,192.557999999999,199.5,80,289
2037,192.326,200.5,77,287
2038,192.060999999999,201,78,285
2039,192.844999999999,202,78,285
2040,192.727000000001,200,81,285
2041,192.469,200,83,286
2042,191.752,198,81,282
2043,191.36,196,78,284
2044,191.339,196,75,282
2045,190.613999999999,197,78,279
