"year","mean","median","lcl","ucl"
2015,81.2740000000002,80.5,39,129
2016,83.6639999999997,83,40,131
2017,87.5109999999996,86,41,141
2018,93.0770000000004,90,43,153
2019,97.5250000000003,95,44,161
2020,101.622,100,44,168
2021,105.268,102,44,179
2022,109.317000000001,105,45,187
2023,112.316,107,45,191
2024,114.978000000001,110,47,193
2025,117.233,113,49,196
2026,118.811,115,49,196
2027,120.002,117,49,194
2028,121.444,118,48,194
2029,122.432,120,50,192
2030,122.878999999999,121,49,191
2031,123.967999999999,124,48,190
2032,123.414,123,47,190
2033,123.709,125,50,188
2034,123.351,128,50,187
2035,123.182999999999,127,50,186
2036,122.992,128,48,184
2037,122.815,127,50,184
2038,122.448,128,50,183
2039,123.003,128,48,183
2040,123.233,128,52,183
2041,122.502,127,52,183
2042,122.610999999999,127,52,184
2043,122.107,126,52,179
2044,122.443,124,46,181
2045,121.952,126,50,180
