"year","mean","median","lcl","ucl"
2015,0.199451612903226,0.193548387096774,0.0967741935483871,0.32258064516129
2016,0.0834838709677416,0.0967741935483871,0,0.161290322580645
2017,0.115064516129032,0.129032258064516,0,0.225806451612903
2018,0.153129032258065,0.161290322580645,0,0.258064516129032
2019,0.166,0.161290322580645,0.032258064516129,0.290322580645161
2020,0.175451612903226,0.193548387096774,0.032258064516129,0.290322580645161
2021,0.177612903225806,0.193548387096774,0.032258064516129,0.290322580645161
2022,0.172225806451613,0.193548387096774,0.032258064516129,0.290322580645161
2023,0.165612903225806,0.161290322580645,0.032258064516129,0.290322580645161
2024,0.166967741935483,0.161290322580645,0,0.290322580645161
2025,0.161580645161289,0.161290322580645,0,0.290322580645161
2026,0.148516129032258,0.161290322580645,0,0.290322580645161
2027,0.143387096774193,0.129032258064516,0,0.258064516129032
2028,0.138741935483871,0.129032258064516,0,0.258064516129032
2029,0.135516129032258,0.129032258064516,0.032258064516129,0.258064516129032
2030,0.132741935483871,0.129032258064516,0,0.258064516129032
2031,0.13258064516129,0.129032258064516,0,0.258064516129032
2032,0.128322580645161,0.129032258064516,0,0.258064516129032
2033,0.124516129032258,0.129032258064516,0,0.258064516129032
2034,0.123870967741936,0.0967741935483871,0,0.258064516129032
2035,0.122612903225806,0.0967741935483871,0,0.258064516129032
2036,0.114354838709677,0.0967741935483871,0,0.258064516129032
2037,0.110258064516129,0.0967741935483871,0,0.225806451612903
2038,0.10758064516129,0.0967741935483871,0,0.225806451612903
2039,0.107483870967742,0.0967741935483871,0,0.258064516129032
2040,0.108935483870968,0.0967741935483871,0,0.225806451612903
2041,0.107258064516129,0.0967741935483871,0,0.225806451612903
2042,0.105354838709677,0.0967741935483871,0,0.225806451612903
2043,0.103129032258065,0.0967741935483871,0,0.225806451612903
2044,0.104451612903226,0.0967741935483871,0,0.225806451612903
2045,0.104129032258065,0.0967741935483871,0,0.225806451612903
