"year","mean","median","lcl","ucl"
2015,55143.324,55186,51685,58567
2016,55289.999,55808,47997,58049
2017,55817.841,56856.5,48040,58670
2018,55905.268,57170.5,48777,58982
2019,55530.731,56784.5,48710,58885
2020,55159.985,56257,48479,58500
2021,54773.406,55731,48365,58105
2022,54286.32,55122,47793,57734
2023,53686.87,54492.5,47024,57297
2024,53029.513,53828.5,46139,56946
2025,52397.532,53215.5,45440,56465
2026,51917.079,52671.5,44766,56032
2027,51428.341,52184.5,43936,55624
2028,51029.303,51722,44056,55319
2029,50748.841,51318.5,43873,55093
2030,50372.252,50897.5,43727,54704
2031,50057.898,50573,42685,54393
2032,49653.241,50222,42246,54203
2033,49281.938,49828,42282,53949
2034,49070.744,49589.5,42010,53732
2035,48838.01,49299,41977,53463
2036,48463.145,48950.5,41419,53103
2037,48213.246,48673.5,41276,52812
2038,47849.294,48392.5,40469,52746
2039,47716.508,48053.5,41010,52534
2040,47548.575,47923,40630,52274
2041,47382.635,47776,40760,52070
2042,47106.203,47461,39708,51834
2043,46811.775,47260.5,39676,51634
2044,46682.335,47078,39636,51477
2045,46559.329,46904.5,39481,51251
