"year","mean","median","lcl","ucl"
2015,5805.086,5858,5062,6109
2016,5623.859,5739,4709,5919
2017,5484.822,5645.5,4646,5813
2018,5346.465,5540.5,4502,5724
2019,5241.48,5425,4416,5631
2020,5148.892,5312,4302,5550
2021,5053.968,5201,4229,5473
2022,4948.438,5090.5,4116,5403
2023,4838.27300000001,4970,3980,5333
2024,4735.33899999999,4859.5,3843,5265
2025,4646.87699999999,4757.5,3745,5193
2026,4570.573,4675,3672,5143
2027,4507.01200000001,4597,3589,5107
2028,4457.21899999999,4538,3573,5066
2029,4400.244,4461,3529,5030
2030,4351.937,4404,3430,4990
2031,4295.881,4359,3370,4949
2032,4244.88,4296,3368,4914
2033,4210.054,4263.5,3316,4882
2034,4177.038,4223,3316,4842
2035,4128.774,4178.5,3250,4806
2036,4092.56900000001,4133.5,3233,4780
2037,4044.979,4073.5,3162,4746
2038,4019.953,4031,3222,4717
2039,3993.816,4007,3173,4689
2040,3968.31399999999,3988,3146,4660
2041,3933.1,3946.5,3106,4634
2042,3892.96099999999,3909,3048,4607
2043,3870.166,3891,3005,4569
2044,3848.80299999999,3866.5,3005,4532
2045,3824.381,3836,3050,4500
