"year","mean","median","lcl","ucl"
2015,133.854,135,58,214
2016,136.457,138,58,217
2017,142.613,142,61,231
2018,149.923,149,61,245
2019,156.773,157,62,254
2020,162.699999999999,163,65,263
2021,168.364999999999,168,67,278
2022,173.248,172.5,68,292
2023,178.355,177,66,300
2024,182.628999999999,182,65,305
2025,185.823,187,67,303
2026,188.344999999999,188,69,305
2027,190.112999999999,188,70,305
2028,191.777000000001,195,70,305
2029,192.842,198,71,299
2030,193.643,199.5,69,294
2031,194.038999999999,202.5,72,296
2032,194.245000000001,203,73,294
2033,195.003999999999,205,71,295
2034,195.835000000001,207,68,296
2035,195.918999999999,206,70,296
2036,195.509000000001,204,71,293
2037,194.777000000001,205.5,74,291
2038,193.541999999999,204,71,289
2039,192.904000000001,204,75,287
2040,193.282000000001,204,74,284
2041,192.754999999999,204,74,281
2042,192.765,204.5,74,279
2043,192.387000000001,203,74,280
2044,193.215,203,76,281
2045,193.644,203,74,280
