"year","mean","median","lcl","ucl"
2015,79.6259999999998,79,31,128
2016,81.9029999999998,82,31,133
2017,85.9960000000005,87,33,139
2018,91.4010000000002,91,35,150
2019,96.2089999999995,95.5,37,159
2020,100.142,100,35,169
2021,103.654,102,35,177
2022,107.259000000001,105,34,184
2023,110.951,109,37,191
2024,113.958,112,36,195
2025,116.134000000001,115,38,198
2026,117.722999999999,117,37,196
2027,119.083,118,40,197
2028,119.969,119.5,38,195
2029,120.678,121.5,38,192
2030,121.452,124,39,192
2031,121.556,125,41,189
2032,121.507,125,40,190
2033,121.15,126.5,38,188
2034,121.627,126,40,186
2035,121.602,127,39,187
2036,121.604,125,41,186
2037,121.904,127,40,187
2038,122.283,128,41,186
2039,122.365,131,41,184
2040,121.985999999999,130,42,182
2041,122.39,129,42,182
2042,121.899,129.5,42,180
2043,121.642,127,45,181
2044,121.857,130,44,181
2045,121.63,128,44,181
