"year","mean","median","lcl","ucl"
2015,0.997,1,1,1
2016,0.995,1,1,1
2017,0.996,1,1,1
2018,0.995,1,1,1
2019,0.995,1,1,1
2020,0.99,1,1,1
2021,0.984,1,1,1
2022,0.986,1,1,1
2023,0.98,1,1,1
2024,0.973,1,1,1
2025,0.974,1,1,1
2026,0.985,1,1,1
2027,0.976,1,1,1
2028,0.973,1,1,1
2029,0.968,1,1,1
2030,0.956999999999999,1,1,1
2031,0.963,1,1,1
2032,0.959,1,1,1
2033,0.949,1,0,1
2034,0.949,1,0,1
2035,0.940999999999999,1,0,1
2036,0.934999999999999,1,0,1
2037,0.937999999999999,1,0,1
2038,0.934999999999999,1,0,1
2039,0.937999999999999,1,0,1
2040,0.928999999999999,1,0,1
2041,0.928000000000001,1,0,1
2042,0.913999999999999,1,0,1
2043,0.902999999999999,1,0,1
2044,0.913000000000002,1,0,1
2045,0.908999999999999,1,0,1
