"year","mean","median","lcl","ucl"
2015,54989.806,55016,51634,58223
2016,55162.451,55706.5,48001,57826
2017,55979.364,56931.5,48572,58662
2018,56384.431,57500.5,48984,59259
2019,56406.041,57534.5,49152,59526
2020,56301.402,57345.5,49676,59536
2021,55964.725,57098.5,48703,59482
2022,55711.81,56722.5,49022,59362
2023,55496.905,56414.5,48454,59244
2024,55117.809,56226.5,47528,59164
2025,54966.003,56011,47740,59167
2026,54682.149,55606,47082,59124
2027,54495.752,55299.5,47218,59039
2028,54319.98,55150,46270,59073
2029,54149.338,54952.5,46024,59021
2030,54024.627,54768,46253,58956
2031,53711.2210000001,54518,45643,58974
2032,53628.519,54306.5,46107,58868
2033,53586.7820000001,54152.5,45897,58824
2034,53535.359,53994.5,45851,58895
2035,53457.4139999999,53964.5,45681,58729
2036,53397.1979999999,53990,45418,58700
2037,53372.967,53886.5,45872,58663
2038,53422.893,53912.5,46211,58651
2039,53354.322,53805,45789,58651
2040,53374.377,53817.5,46223,58639
2041,53257.815,53698,45603,58519
2042,53189.869,53732.5,45323,58396
2043,53128.815,53548,45617,58411
2044,53149.0520000001,53586,45247,58389
2045,53108.277,53528,45360,58409
