"year","mean","median","lcl","ucl"
2015,5789.329,5847,5085,6087
2016,5638.192,5751.5,4780,5922
2017,5546.352,5693,4689,5849
2018,5468.591,5631,4640,5805
2019,5392.047,5567.5,4513,5766
2020,5317.906,5490.5,4456,5735
2021,5248.05,5409.5,4388,5699
2022,5179.145,5332.5,4310,5677
2023,5125.249,5263.5,4217,5650
2024,5070.58899999999,5201.5,4135,5628
2025,5010.87900000001,5122,4056,5603
2026,4956.304,5072,3950,5583
2027,4905.96,5027.5,3805,5564
2028,4877.05299999999,4984.5,3820,5550
2029,4852.665,4958,3831,5542
2030,4824.889,4938,3780,5533
2031,4800.005,4873,3837,5522
2032,4777.98500000001,4858.5,3800,5514
2033,4752.10499999999,4822,3757,5509
2034,4737.43000000001,4799.5,3791,5506
2035,4714.693,4758.5,3693,5504
2036,4698.462,4738.5,3692,5485
2037,4681.00400000001,4721.5,3662,5467
2038,4667.63199999999,4716.5,3620,5452
2039,4646.60700000001,4685.5,3624,5449
2040,4629.736,4664,3586,5443
2041,4615.481,4652.5,3563,5425
2042,4599.604,4632.5,3603,5419
2043,4595.51499999999,4619.5,3608,5410
2044,4575.14500000001,4604.5,3513,5406
2045,4565.949,4609.5,3562,5378
