"year","mean","median","lcl","ucl"
2015,134.960000000001,134.5,53,212
2016,137.275999999999,137,53,218
2017,142.920000000001,142,52,230
2018,150.350000000001,148.5,54,239
2019,156.568000000001,154,58,259
2020,162.717999999999,159.5,58,274
2021,168.32,166,60,291
2022,173.641,168.5,61,300
2023,177.692000000001,172.5,59,306
2024,181.576999999999,176,63,308
2025,184.531000000001,179,63,305
2026,187.109,183,64,307
2027,189.613999999999,187,65,309
2028,191.779000000001,192,65,310
2029,192.823,195.5,66,306
2030,192.772999999999,195,67,302
2031,193.43,196,68,297
2032,194.403000000001,198,69,299
2033,194.971999999999,201.5,69,295
2034,195.154000000001,204.5,68,293
2035,195.597999999999,203,70,295
2036,195.454999999999,205.5,72,293
2037,195.438000000001,207,75,290
2038,195.566000000001,208,76,290
2039,195.472999999999,205,75,290
2040,195.766,208,75,292
2041,195.072,205,76,290
2042,195.014000000001,204.5,77,291
2043,195.157000000001,206,74,291
2044,195.306,206,74,286
2045,195.007999999999,205,74,291
