"year","mean","median","lcl","ucl"
2015,81.2869999999998,82,31,129
2016,83.9479999999997,83,33,134
2017,87.6019999999995,87,33,141
2018,93.1889999999997,93,34,151
2019,97.8769999999996,96,36,158
2020,101.872,101,36,171
2021,105.784,103.5,37,181
2022,109.23,107,39,188
2023,112.373,109,39,193
2024,114.922,113,40,196
2025,117.362,113.5,40,197
2026,118.673,116,40,196
2027,120.435,118,41,198
2028,121.997,120,42,198
2029,122.773,125,41,197
2030,123.222999999999,124,42,196
2031,123.164999999999,125,42,192
2032,124.225,127,42,191
2033,124.349000000001,128,43,191
2034,124.715,129,45,188
2035,124.817000000001,130.5,45,190
2036,125.146999999999,130,44,190
2037,124.646,130,47,188
2038,125.078,134,47,188
2039,125.052,131,48,187
2040,124.962,133,48,188
2041,125.271999999999,131,49,189
2042,124.796,130,48,189
2043,124.612,131,48,189
2044,125.067000000001,132,49,186
2045,124.877,131.5,48,184
