"year","mean","median","lcl","ucl"
2015,0.999,1,1,1
2016,0.998,1,1,1
2017,0.994,1,1,1
2018,0.995,1,1,1
2019,0.993,1,1,1
2020,0.994,1,1,1
2021,0.99,1,1,1
2022,0.988,1,1,1
2023,0.981,1,1,1
2024,0.987,1,1,1
2025,0.979,1,1,1
2026,0.972,1,1,1
2027,0.973,1,1,1
2028,0.969,1,1,1
2029,0.97,1,1,1
2030,0.969,1,1,1
2031,0.961,1,1,1
2032,0.958,1,1,1
2033,0.95,1,0,1
2034,0.953,1,1,1
2035,0.944,1,0,1
2036,0.94,1,0,1
2037,0.936,1,0,1
2038,0.931,1,0,1
2039,0.929,1,0,1
2040,0.927,1,0,1
2041,0.927,1,0,1
2042,0.915,1,0,1
2043,0.901,1,0,1
2044,0.908,1,0,1
2045,0.912,1,0,1
