"year","mean","median","lcl","ucl"
2015,80.168,79.5,36,127
2016,82.199,81,36,130
2017,86.399,86,36,139
2018,92.043,92,39,149
2019,97.529,97,41,158
2020,101.154,102,40,168
2021,104.781,103,39,177
2022,108.399,106,41,185
2023,111.456,110,41,192
2024,113.552,111,42,193
2025,116.54,115,44,194
2026,118.22,118,43,194
2027,119.792,119,43,195
2028,120.843,122,43,195
2029,121.415,122,42,197
2030,122.611,125.5,44,192
2031,123.91,127,43,191
2032,123.619,127,44,189
2033,123.895,129,44,189
2034,123.448,128,42,189
2035,123.712,129,43,188
2036,123.271,130,44,188
2037,123.128,130,45,186
2038,123.49,129.5,43,187
2039,123.526,127,43,186
2040,124.103,130,43,187
2041,124.404,129.5,43,185
2042,123.737,128,44,183
2043,123.856,131,44,182
2044,124.231,131,43,186
2045,123.237,129,44,183
