"year","mean","median","lcl","ucl"
2015,0.19958064516129,0.193548387096774,0.0967741935483871,0.32258064516129
2016,0.0826129032258061,0.0645161290322581,0,0.161290322580645
2017,0.110516129032258,0.129032258064516,0,0.193548387096774
2018,0.146032258064516,0.161290322580645,0,0.258064516129032
2019,0.16041935483871,0.161290322580645,0.032258064516129,0.258064516129032
2020,0.156645161290323,0.161290322580645,0.032258064516129,0.258064516129032
2021,0.152193548387097,0.161290322580645,0.032258064516129,0.258064516129032
2022,0.143032258064516,0.161290322580645,0.032258064516129,0.225806451612903
2023,0.139451612903226,0.129032258064516,0.032258064516129,0.225806451612903
2024,0.131645161290322,0.129032258064516,0.032258064516129,0.225806451612903
2025,0.125225806451613,0.129032258064516,0,0.225806451612903
2026,0.123806451612904,0.129032258064516,0,0.225806451612903
2027,0.119709677419355,0.129032258064516,0,0.225806451612903
2028,0.114677419354838,0.0967741935483871,0,0.225806451612903
2029,0.11241935483871,0.0967741935483871,0,0.225806451612903
2030,0.108322580645161,0.0967741935483871,0,0.225806451612903
2031,0.105161290322581,0.0967741935483871,0,0.225806451612903
2032,0.101838709677419,0.0967741935483871,0,0.225806451612903
2033,0.0992903225806448,0.0967741935483871,0,0.225806451612903
2034,0.0957419354838709,0.0967741935483871,0,0.225806451612903
2035,0.0952258064516129,0.0967741935483871,0,0.193548387096774
2036,0.0904838709677418,0.0645161290322581,0,0.193548387096774
2037,0.0871935483870969,0.0645161290322581,0,0.193548387096774
2038,0.0820000000000002,0.0645161290322581,0,0.193548387096774
2039,0.0780645161290318,0.0645161290322581,0,0.193548387096774
2040,0.0781290322580648,0.0645161290322581,0,0.193548387096774
2041,0.0785161290322583,0.0645161290322581,0,0.193548387096774
2042,0.0788387096774196,0.0645161290322581,0,0.193548387096774
2043,0.0754516129032264,0.0645161290322581,0,0.193548387096774
2044,0.0768064516129028,0.0645161290322581,0,0.193548387096774
2045,0.0733225806451618,0.0645161290322581,0,0.193548387096774
