"year","mean","median","lcl","ucl"
2015,54948.193,54877,51580,58367
2016,55003.013,55680.5,47378,57919
2017,55564.617,56753.5,48013,58502
2018,55745.514,57000.5,49084,58662
2019,55392.872,56546.5,48587,58459
2020,54911.279,55914.5,48408,58069
2021,54098.73,55116.5,46981,57489
2022,53434.335,54407,46269,56947
2023,52696.869,53707.5,45623,56292
2024,51973.976,52898.5,45202,55757
2025,51305.512,52056.5,44568,55203
2026,50639.275,51269.5,43977,54725
2027,49900.184,50643.5,42445,54209
2028,49224.041,49944.5,42027,53795
2029,48700.17,49444.5,41318,53316
2030,48355.117,49108,40393,53024
2031,47803.7010000001,48457,40298,52745
2032,47500.475,48097.5,40359,52406
2033,47161.327,47759.5,39808,52086
2034,46808.943,47379,39638,51884
2035,46342.021,47044,38130,51487
2036,45945.153,46650,37876,51271
2037,45606.986,46341.5,37378,51039
2038,45277.1979999999,46115.5,37102,50922
2039,44932.814,45827.5,36804,50625
2040,44703.3499999999,45554,36389,50501
2041,44491.825,45291.5,36277,50205
2042,44099.643,44942.5,35742,49889
2043,43795.436,44591.5,35688,49824
2044,43574.759,44267.5,35838,49554
2045,43327.0559999999,44034,35152,49438
