"year","mean","median","lcl","ucl"
2015,5770.404,5842,5004,6077
2016,5738.03,5873,4841,6048
2017,5741.466,5909.5,4886,6076
2018,5730.96599999999,5924,4839,6113
2019,5724.18000000001,5915,4817,6147
2020,5680.39200000001,5882,4655,6169
2021,5650.891,5820.5,4582,6175
2022,5609.28699999999,5768,4529,6178
2023,5563.43000000001,5719,4507,6184
2024,5519.82700000001,5655.5,4428,6177
2025,5472.49599999999,5573,4412,6165
2026,5340.82200000001,5446.5,4236,6067
2027,5224.457,5336.5,4120,5986
2028,5136.36800000001,5236.5,3986,5924
2029,5080.08599999999,5191,3932,5850
2030,5002.52800000001,5104.5,3877,5798
2031,4960.475,5072,3879,5741
2032,4917.88,5004,3755,5718
2033,4874.47400000001,4973.5,3725,5683
2034,4815.854,4925,3590,5649
2035,4766.98700000001,4881.5,3499,5627
2036,4722.62,4830,3440,5598
2037,4682.782,4815,3394,5582
2038,4638.627,4778.5,3376,5546
2039,4609.226,4737,3340,5515
2040,4585.53400000001,4705,3320,5495
2041,4542.583,4674,3238,5471
2042,4510.83,4637,3161,5460
2043,4486.513,4582,3187,5461
2044,4459.43899999999,4564.5,3134,5449
2045,4426.98799999999,4521.5,3156,5441
