"year","mean","median","lcl","ucl"
2015,135.029,136,56,211
2016,137.860999999999,138.5,56,219
2017,143.042,144,62,227
2018,150.988,150,60,240
2019,158.199999999999,157,62,256
2020,164.662,162,64,268
2021,170.247000000001,169,64,280
2022,175.815000000001,171,67,289
2023,180.797000000001,177,65,303
2024,185.520999999999,179.5,67,311
2025,189.870000000001,184,67,316
2026,193.290999999999,187.5,70,315
2027,194.82,189,67,313
2028,196.011000000001,193,70,306
2029,197.381999999999,199,71,303
2030,197.806,203.5,68,299
2031,199.364999999999,207,71,298
2032,200.581000000001,210,70,296
2033,201.145999999999,210.5,67,293
2034,202.182999999999,213,70,296
2035,202.331000000001,216,66,295
2036,202.084000000001,218,67,289
2037,201.202999999999,215,69,288
2038,200.898999999999,214,65,287
2039,200.801,217,67,286
2040,199.351000000001,215,66,287
2041,198.659,213.5,68,282
2042,197.89,211,71,279
2043,197.900999999999,211,69,278
2044,198.267,210,69,281
2045,198.181999999999,211.5,73,284
