"year","mean","median","lcl","ucl"
2015,78.4849999999997,78,32,125
2016,80.6050000000004,78,33,130
2017,84.7439999999997,83,34,140
2018,90.384,89,38,148
2019,95.4329999999994,94,37,157
2020,99.8159999999995,98,38,169
2021,103.211,99,41,179
2022,106.406,103,40,187
2023,109.472,105,40,190
2024,112.403000000001,109,40,197
2025,114.846,110,43,200
2026,117.071,113,41,199
2027,119.166,115,43,200
2028,120.467,118,43,199
2029,121.435999999999,119,45,200
2030,122.096,121,42,196
2031,123.314,124,45,194
2032,124.745,127.5,45,194
2033,125.210000000001,128.5,45,192
2034,125.920000000001,131,47,192
2035,126.594,132.5,47,190
2036,126.712,133,46,191
2037,126.514000000001,132,46,188
2038,126.271,131,48,185
2039,125.848,132,50,185
2040,124.646999999999,131.5,48,183
2041,124.727,132,49,181
2042,124.899,132,47,182
2043,124.9,133,47,182
2044,124.131,132,49,179
2045,123.909,132,48,181
