"year","mean","median","lcl","ucl"
2015,0.996,1,1,1
2016,0.998,1,1,1
2017,0.994,1,1,1
2018,0.995,1,1,1
2019,0.993,1,1,1
2020,0.991,1,1,1
2021,0.979,1,1,1
2022,0.969,1,1,1
2023,0.963,1,1,1
2024,0.963,1,1,1
2025,0.96,1,1,1
2026,0.952,1,1,1
2027,0.955,1,1,1
2028,0.949,1,0,1
2029,0.943,1,0,1
2030,0.937,1,0,1
2031,0.925,1,0,1
2032,0.912,1,0,1
2033,0.915,1,0,1
2034,0.906,1,0,1
2035,0.9,1,0,1
2036,0.898,1,0,1
2037,0.905,1,0,1
2038,0.902,1,0,1
2039,0.883,1,0,1
2040,0.878,1,0,1
2041,0.878,1,0,1
2042,0.881,1,0,1
2043,0.874,1,0,1
2044,0.882,1,0,1
2045,0.875,1,0,1
