"year","mean","median","lcl","ucl"
2015,0.998,1,1,1
2016,0.994,1,1,1
2017,0.994,1,1,1
2018,0.99,1,1,1
2019,0.991,1,1,1
2020,0.987,1,1,1
2021,0.975,1,1,1
2022,0.98,1,1,1
2023,0.963,1,1,1
2024,0.966,1,1,1
2025,0.956,1,1,1
2026,0.959999999999999,1,1,1
2027,0.949,1,0,1
2028,0.943999999999999,1,0,1
2029,0.946999999999999,1,0,1
2030,0.93,1,0,1
2031,0.913999999999999,1,0,1
2032,0.910000000000002,1,0,1
2033,0.922000000000001,1,0,1
2034,0.910999999999999,1,0,1
2035,0.901,1,0,1
2036,0.905999999999999,1,0,1
2037,0.901999999999999,1,0,1
2038,0.901,1,0,1
2039,0.889000000000001,1,0,1
2040,0.887999999999998,1,0,1
2041,0.887,1,0,1
2042,0.884999999999999,1,0,1
2043,0.874000000000001,1,0,1
2044,0.866999999999999,1,0,1
2045,0.881,1,0,1
