"year","mean","median","lcl","ucl"
2015,55060.418,55087.5,51668,58453
2016,55238.083,55705,48212,57979
2017,55868.621,57071.5,47674,58831
2018,56640.24,57854,49794,59465
2019,56955.358,58084,50142,59873
2020,57061.972,58110.5,50368,60083
2021,57071.35,58087,50037,60224
2022,57140.114,58036,50401,60399
2023,57146.856,58138.5,50315,60616
2024,57253.445,58196.5,50698,60744
2025,57516.677,58345,51284,60991
2026,57638.146,58379,51788,61173
2027,57681.72,58428.5,50859,61223
2028,57617.176,58380.5,51025,61140
2029,57573.964,58240.5,51434,61026
2030,57397.236,58080,51194,60921
2031,57232.369,57960,51070,60759
2032,57151.323,57788.5,50924,60647
2033,57045.229,57698,50343,60449
2034,56929.673,57562,50641,60330
2035,56714.094,57369,50455,60187
2036,56566.727,57257,50141,60082
2037,56321.469,56981.5,50080,59852
2038,56092.472,56756,49682,59600
2039,55972.123,56614.5,49182,59349
2040,55801.792,56424.5,49245,59229
2041,55617.126,56267,49216,59019
2042,55430.145,56034,49147,58821
2043,55184.092,55788.5,48764,58684
2044,54894.697,55580.5,48184,58415
2045,54619.342,55381,48242,58273
