"year","mean","median","lcl","ucl"
2015,0.351023799477278,0.348654031868663,0.312849162011173,0.394495412844037
2016,0.332361437277594,0.328857245854362,0.28,0.391666666666667
2017,0.319348493208989,0.317336480884385,0.265625,0.378048780487805
2018,0.31574900598511,0.312376482213439,0.26605504587156,0.374045801526718
2019,0.313027820628616,0.309244438415627,0.258064516129032,0.373239436619718
2020,0.311229472440152,0.309244438415627,0.261083743842365,0.368421052631579
2021,0.319373530573487,0.317668294754725,0.265151515151515,0.377777777777778
2022,0.322936947877251,0.320819914117016,0.26984126984127,0.377049180327869
2023,0.325640889279251,0.324675324675325,0.271084337349398,0.384615384615385
2024,0.328876434205655,0.328141414141414,0.274809160305344,0.383647798742138
2025,0.319741069386376,0.320450585013692,0.260869565217391,0.375
2026,0.31768359242478,0.317813033766916,0.264705882352941,0.372881355932203
2027,0.318471947113735,0.319386087768441,0.263736263736264,0.372093023255814
2028,0.318738192499003,0.319646192156049,0.265895953757225,0.364928909952607
2029,0.320894416744559,0.321428571428571,0.262886597938144,0.373684210526316
2030,0.318633383883318,0.320087719298246,0.265,0.370967741935484
2031,0.318149662685107,0.318942218080149,0.259615384615385,0.371134020618557
2032,0.31713657526064,0.317621812673567,0.260869565217391,0.369458128078818
2033,0.318564829083797,0.318949468085106,0.261538461538462,0.370535714285714
2034,0.314811595361956,0.314814814814815,0.260869565217391,0.368243243243243
2035,0.315067299150621,0.317596566523605,0.256880733944954,0.365591397849462
2036,0.315696012125397,0.315505085529357,0.261904761904762,0.367469879518072
2037,0.31594733577639,0.316181818181818,0.26,0.366336633663366
2038,0.316855168516449,0.317460317460317,0.261627906976744,0.370229007633588
2039,0.315340618799569,0.31547619047619,0.259868421052632,0.367441860465116
2040,0.315363950261504,0.317073170731707,0.260606060606061,0.364820846905537
2041,0.314933122426539,0.315266353309832,0.258426966292135,0.367768595041322
2042,0.312736896129518,0.315266353309832,0.257142857142857,0.3625
2043,0.314036292377682,0.315533980582524,0.259259259259259,0.362745098039216
2044,0.312501112652885,0.312937405177898,0.254295532646048,0.365942028985507
2045,0.31413155147977,0.3150434040845,0.260869565217391,0.366197183098592
